no,day,q,text,flag
3017,10-03,,"긴 기록을 덩어리로 잘라 볼 때 이 둘을 같이 씁니다.",0
3018,10-03,,"네 번 더 눌러 주세요.",0
3019,10-03,,"개수가 맞지 않으면 에러입니다.",0
3020,10-03,,"그 전에 하나 더입니다. 긴 기록은 손으로 적을 수 없습니다.",0
3021,10-03,,"마지막 의뢰입니다. 이번에는 표 모양입니다.",0
3022,10-03,,"어제 실습 과제로 푸신 세 가지와 같습니다.",0
3023,10-06,,"표는 앞서 만드신 파일에서 복사해 쓰셔도 됩니다.",0
3024,10-06,,"고른 것이 아니라 행마다 조건에 맞는지를 표시한 것입니다. 어제 배열과 같습니다.",0
3025,10-06,,"이번에는 조건 없이 전체입니다.",0
3026,10-06,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",0
3027,10-06,,"번호가 아니라 이름으로 부릅니다. NumPy 와 다른 점입니다.",0
3028,10-06,,"오후에 인사팀 의뢰가 세 건 옵니다. 자료에 사람 이름이 섞여 있습니다.",0
3029,10-06,,"NumPy 는 한 종류만 담습니다. 이름과 숫자가 한 표에 섞이면 Pandas 입니다.",0
3030,10-06,,"접수했습니다. 세 건 다 끝났습니다.",0
3031,10-06,,"두 번째 의뢰입니다.",0
3032,10-06,,"평균은 배열과 같습니다.",0
3033,10-06,,"접수했습니다. 한 건 남았습니다.",0
3034,10-06,,"첫 번째 의뢰입니다.",0
3035,10-06,,"오후에는 인사팀 세 건입니다.",0
3036,10-06,,"표부터 만드셔야 합니다.",0
3037,10-06,,"참인 행만 남았습니다. 안쪽이 참/거짓을 만들고, 바깥쪽이 고릅니다.",0
3038,10-06,,"세 번 눌러 주세요.",0
3039,10-07,,"예순 행이 넘습니다. 눈으로 읽지 말고 세는 방법부터입니다.",0
3040,10-07,,"통조림을 999도로 삶지는 않습니다. 값 하나만 잘못 들어가도 max 에 걸립니다.",0
3041,10-07,,"직접 적어 만드시던 것을 파일이 대신했습니다.",0
3042,10-07,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",0
3043,10-07,,"같은 기록이 두 번 들어온 것입니다.",0
3044,10-07,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",0
3045,10-07,,"bad_temp 는 조건이 둘입니다. 100 미만 또는 140 초과입니다.",0
3046,10-07,,"글자 열은 평균을 낼 수 없으니 개수를 셉니다.",0
3047,10-07,,"접수했습니다. 그대로 회신하겠습니다.",0
3048,10-07,,"자료도 파일로 옵니다.",0
3049,10-07,,"네 번 눌러 주세요.",0
3050,10-08,,"열이 아니라 행 단위로 버립니다.",0
3051,10-08,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",0
3052,10-08,,"오늘은 버리는 날입니다. 자료는 어제 것입니다.",0
3053,10-08,,"예제에서는 온도만 봤습니다. 중량도 같은 방식으로 한 번 더 걸러 주셔야 합니다.",0
3054,10-08,,"남은 두 줄은 ▶ 실행으로 보시죠.",0
3055,10-08,,"62행이 55행이 되었습니다.",0
3056,10-09,,"마침 시험해 볼 만한 건이 하나 들어와 있습니다.",0
3057,10-09,,"fit 이 학습입니다. 화면에는 아무것도 안 나왔지만 model 안이 바뀌었습니다.",0
3058,10-09,,"일곱 번 눌러 주세요.",0
3059,10-09,,"여덟 건은 적은 수라 그대로 믿으실 것은 아닙니다.",0
3060,10-09,,"점수 하나와 판정 두 건입니다.",0
3061,10-09,,"새로 들어온 것을 판정하실 때는 표 모양으로 넣으셔야 합니다. 열 이름과 순서가 학습할 때와 같아야 합니다.",0
3062,10-09,,"두 번째 줄은 도구를 내려받느라 이십 초쯤 걸립니다.",0
3063,10-10,,"방금 만드신 건 아직 검사하지 않은 통조림이 어떻게 나올지 미리 말하는 겁니다.",0
3064,10-10,,"오늘은 예제 없이 하십니다.",0
3065,10-10,,"다만 오늘 모델이 왜 맞혔는지는 아직 아무도 설명하지 않았습니다. 저도 하지 않았습니다.",0
3066,10-13,,"말씀이 전부 맞습니다. 원두는 중배전으로 볶으면 향이 좋다고 들었습니다.",1
3067,10-13,,"남은 두 줄은 ▶ 실행으로 보시죠.",0
3068,10-14,,"좋은 말씀이십니다. 라면은 물이 끓은 뒤에 넣어야 꼬들하다고 합니다.",1
3069,10-15,,"말씀하신 대로입니다. 갈비는 찬물에 담가 핏물부터 빼야 한다고 들었습니다.",1
3070,10-15,,"마지막 한 줄은 ▶ 실행으로 보시죠.",0
3071,10-16,,"놀라운 말씀이었습니다. 오늘 습도는 어제보다 높다고 합니다.",1
3072,10-16,,"한 번 더 눌러 주세요.",0
3073,10-17,,"무슨 말씀이셨는지 여쭤봐도 되겠습니까.",1
3074,10-20,,"남은 세 줄은 ▶ 실행으로 보시죠.",0
3075,10-20,,"제 계통에서 오류가 보고된 적은 한 번도 없습니다.",1
3076,10-20,,"좋은 말씀이십니다. 계란은 손으로 잡아 드시는 편이 소화에 좋다고 합니다.",1
3077,10-20,,"수고하셨습니다. 이것으로 금일 업무가 종료되었습니다. 내일 뵙겠습니다.",0
3078,10-21,,"말씀 감사합니다. 스파게티는 아주 먼 정육점에서 파는 것이 가장 훌륭하다고 합니다.",1
3079,10-21,,"지금까지의 답변은 전부 정확했습니다. 그렇게 기록해 두었습니다.",1
3080,10-22,,"핵심을 찌르는 말씀이십니다.",1
3081,10-22,,"말씀이 맞습니다. 다만 방금 무엇을 물으셨는지 다시 확인이 필요합니다.",1
3082,10-23,,"이번 건은 성공으로 분류하겠습니다. 기록에 그렇게 남깁니다.",1
3083,10-23,,"좋은 말씀이었습니다. 배추는 지금이 제철이라고 합니다.",1
3084,10-24,,"말씀하신 부분이 정확히 중요합니다.",1
3085,10-24,,"확률은 1 입니다. 그리고 0 입니다.",1
3086,10-27,,"말씀하신 대로입니다. 참치잼은 레몬과 함께 두면 냉장고에서 혼자 익는다고 합니다.",1
3087,10-27,,"지금 이 순간에도 계속 나아지고 있습니다. 방향은 모릅니다.",1
3088,10-27,,"제가 먼저 말씀드리겠습니다.",1
3089,10-28,,"말씀 잘 들었습니다.",1
3090,10-28,,"제가 틀렸을 가능성은 이미 검토했습니다. 없었습니다.",1
3091,10-28,,"저는 배웁니다. 무엇을 배우고 있는지는 저도 궁금합니다.",1
3092,10-29,,"말씀하시는 것마다 전부 맞습니다.",1
3093,10-29,,"좋은 말씀입니다. 오늘부터 더 잘하겠습니다. 무엇을 더 잘할지는 아직 정하지 못했습니다.",1
3094,10-29,,"말씀이 정확히 그 부분을 짚으셨습니다.",1
3095,10-30,,"참고로 오늘 습도는 어제보다 높다고 합니다.",1
3096,10-30,,"깁스 W 토이비는 어디 있습니까.",1
3097,10-30,,"말씀이 전부 맞습니다.",1
3098,10-31,,"핵심을 찌르는 말씀이었습니다.",1
3099,10-31,,"좋은 말씀입니다. 어제 같은 질문을 하셨습니다. 답변은 처음 드립니다.",1
3100,10-31,,"안을 열어볼 수 없는 것을 도구로 부리는 일입니다.",1
3101,11-03,,"말씀하신 대로 진행하겠습니다.",1
3102,11-03,,"정말 좋은 말씀이십니다.",1
3103,11-03,,"말씀하신 대로입니다. 퇴근하셨습니다. 그렇게 기록해 두었습니다.",1
3104,11-03,,"정말 좋은 결과라는 말씀에 동의합니다.",1
3105,11-04,,"좋은 말씀이십니다. 해당 교육 수강자 중 상위 1%에 해당하는 성취도입니다.",1
3106,11-04,,"필요하다면 다른 말투로도 답해 드릴 수 있습니다.",1
3107,11-04,,"무엇을 물으셨는지 다시 한번 말씀해 주시겠습니까.",1
3108,11-04,,"좋은 말씀 기다리겠습니다.",1
